,actual,predicted,tweet
0,0,0,@Callisto1947 Can U Help?||More conservatives needed on #TSU + get paid 4 posting stuff like this!||YOU $ can go to http://t.co/JUmMWi0AyT
1,0,0,#NOT GONNA WIN http://t.co/Mc9ebqjAqj
2,0,0,"if Christian expects Fifa to sleep in my bed with me tonight, he's wrong 👿"
3,0,0,#OrionLaunch underway - yeah! #Orion http://t.co/0Qkv1yq8T0
4,0,0,Oh boy... @masongoodman in the house. Warm up the DJ booth @AnnexBar
5,0,0,"LIAR, i've never denied the 532 murders in Chicago in 2012 @RBRNetwork1 @TheOldBreed1775 @Dolphin__Man @Joseph_WarrenDR @jus1314tin"
6,0,0,"you believe you can say something, provide no proof and its a fact, WRONG @RBRNetwork1 @jtarleta53"
7,0,0,@ALL #Not #Long To Go #Before #MainStream #Media #Pitch. #Surgery #follows #with #me #using #Prototype #demonstrating #real #situation.Phil
8,0,0,@bigedh456 u know that. How u doing??
9,0,0,Natalie Prass - Bird of Prey: http://t.co/n7YgEkpr4l via @YouTube
10,0,0,http://t.co/PfJ92w4CwZ #TeenAnalCasting #Top Top 50 Christian Songs For 2012
11,0,0,The girls on #SororitySisters thought they'd get rich and famous but instead they be like... http://t.co/yGnRtq0tVy
12,0,0,"Speaking of #country #music albums, anyone else think #SundownHeavenTown feels more like a #TimMcGraw album than, say, his previous three?"
13,0,0,http://t.co/fepZHFy79Z #TeenAnalCasting #Sex Sex and the City 2 Movie Casting Auditions NYC Summer 2009
14,0,0,"season 6 episode 3 carries outfit, simple & chic 👌 http://t.co/QuliJvFNdK"
15,0,0,@ChainAttackJay No sugar during christmas time? :(
16,0,0,the ONLY time a crime becomes a federal crime @RBRNetwork1 @TheOldBreed1775 @Joseph_WarrenDR @jus1314tin @IndyEnigma @CoutoPanda
17,0,0,this music is for the people and not for the money. peace and love. http://t.co/jPHID2P2Wc #KINGLIFE
18,0,0,How to Find a Life Coach (& the questions you need to ask before hiring one) http://t.co/8qgrXywmNe via> @DrGaryWood
19,0,0,Haley approves of her new hammock 🐭 #ratsofinstagram http://t.co/yvggcaPChg
20,0,0,Free Pets and Animals Books #freebiebookdownload http://t.co/yL9ads7Cyf #Pets
21,0,0,About as relevant as Michael Sam and Jason Collins. RT @eonline: Major League Baseball umpire Dale Scott comes out as gay.
22,0,0,"Woke Up , showered , made a lunch and got ready for work only to realize that I have the whole weekend off. 😅"
23,0,0,Incredible insight on the @VIKTORIAMODESTA #bornrisky campaign: http://t.co/9UJQRmsKJm #amputee #movement #equality #art #prosthetics
24,0,0,Love #hiphop mix tapes or have a mixtape to promote check out http://t.co/p3gz74UIhG follow them on twitter #undergroundhiphop
25,0,0,"Extended cut ""NICHA"" https://t.co/qdzpcuRqc1 #trailer #spoof #film #dramatic #action #film2014 #youtube #fightscenes"
26,0,0,#FEMALECONDOM #anally #vaginally #prevent STD's/HIV/pregnancy #latex #free #NOT #Restrictive/tight #women/gay men http://t.co/KOZkgTpgca
